threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,procrustes_corr,adj_procrustes_corr,delta_procrustes_corr,mantel_spearman_r,adj_mantel_spearman_r,delta_mantel_spearman_r,rv_coeff,adj_rv_coeff,delta_rv_coeff,embedding_distance_pearson_r,adj_embedding_distance_pearson_r,delta_embedding_distance_pearson_r
0.1,10,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5441024837873915,0.7876855812463571,0.24358309745896567,0.3229664225205855,0.8741934669815098,0.5512270444609243,0.639042619196745,0.5445437081903987,-0.09449891100634633,0.35345355135695794,0.9117015934487508,0.5582480420917928
0.1,10,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5269549512558689,0.8700711340511353,0.34311618279526646,0.3773701868762567,0.9210707668850137,0.543700580008757,0.6235986492955113,0.827188619578639,0.20358997028312764,0.43574518350933195,0.9587562395043134,0.5230110559949814
0.1,10,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.6174307242858144,0.8979678664072299,0.28053714212141556,0.3851431903012579,0.9403750283572684,0.5552318380560105,0.6999646890579313,0.8015893309749901,0.10162464191705878,0.4161035000436165,0.9774028688778758,0.5612993688342592
0.1,20,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.3679354040125584,0.9466341433909372,0.5786987393783788,0.21093900552689715,0.9667516212987561,0.755812615771859,0.5079115157442083,0.9718992793346096,0.4639877635904013,0.28976238099744245,0.9848343456239766,0.6950719646265342
0.1,20,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.39703538781008285,0.8966942032099808,0.499658815399898,0.3980909375461162,0.9623110494224129,0.5642201118762966,0.537183765082822,0.890950864557263,0.35376709947444107,0.46567657413581104,0.9605343237458002,0.49485774960998913
0.1,20,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.4018072447223946,0.8727641420379839,0.4709568973155893,0.510059105788784,0.9484087982266513,0.43834969243786726,0.5450458468351699,0.8233559258098598,0.27831007897468996,0.5483437288167505,0.9395256648366705,0.39118193601992
0.1,20,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5061126047255033,0.7905504467189439,0.2844378419934406,0.2687026913723616,0.9521210944276409,0.6834184030552793,0.6508720312375699,0.8131404873633329,0.16226845612576302,0.3025426233973854,0.9321805807923046,0.6296379573949191
0.1,20,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5246658638825592,0.7632147125512615,0.2385488486687023,0.30252616574140806,0.9355081895247217,0.6329820237833137,0.6449601119852554,0.7424916492259235,0.0975315372406681,0.3848594261079854,0.9063225825473774,0.521463156439392
0.1,20,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5604305462677999,0.9799832413208902,0.41955269505309034,0.3679136712684387,0.9814007039925772,0.6134870327241384,0.6980368614927809,0.982415831462854,0.28437896997007317,0.40543133892218663,0.9946864984678186,0.589255159545632
0.2,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.2617840535096764,0.6082522518806305,0.3464681983709541,0.28065971154335567,0.7917427488339424,0.5110830372905867,0.39953797282761605,0.598315731325278,0.198777758497662,0.3074123069650447,0.87135750634192,0.5639451993768754
