pair,branch,hypothesis_id,hypothesis_name,adjusted_r2,delta_adjusted_r2_vs_base
BAC↔EUK,presence/absence,G,abiotic_plus_pool_compl,0.2577166204952794,0.003264891236979
BAC↔EUK,presence/absence,A,abiotic_base,0.240880268553887,0.0
BAC↔EUK,presence/absence,B,abiotic_plus_alpha,0.246292990184997,0.00541272163111
BAC↔EUK,presence/absence,C,abiotic_plus_dark,0.2412231856273227,0.0003429170734357
BAC↔EUK,presence/absence,D,abiotic_plus_pool,0.2438571153064508,0.0029768467525638
BAC↔EUK,presence/absence,E,abiotic_plus_compl,0.2378820347272877,-0.0029982338265992
BAC↔EUK,presence/absence,F,abiotic_plus_alpha_dark,0.2445206218978972,0.0036403533440102
BAC↔EUK,presence/absence,G,abiotic_plus_pool_compl,0.2426548422016941,0.001774573647807
BAC↔ITS,CLR,A,abiotic_base,0.2532334050848909,0.0
BAC↔ITS,CLR,B,abiotic_plus_alpha,0.2630980081030274,0.0098646030181365
BAC↔ITS,CLR,C,abiotic_plus_dark,0.2565436812580453,0.0033102761731543
BAC↔ITS,CLR,D,abiotic_plus_pool,0.2605284709420991,0.0072950658572081
BAC↔ITS,CLR,E,abiotic_plus_compl,0.2506692626584468,-0.002564142426444
BAC↔ITS,CLR,F,abiotic_plus_alpha_dark,0.2625416339609903,0.0093082288760993
BAC↔ITS,CLR,G,abiotic_plus_pool_compl,0.2598004236835731,0.0065670185986822
BAC↔ITS,CLR,A,abiotic_base,0.2447582390577969,0.0
BAC↔ITS,CLR,B,abiotic_plus_alpha,0.2529224580530057,0.0081642189952088
BAC↔ITS,CLR,C,abiotic_plus_dark,0.2472247408357694,0.0024665017779724
BAC↔ITS,CLR,D,abiotic_plus_pool,0.2509471983925831,0.0061889593347862
BAC↔ITS,CLR,E,abiotic_plus_compl,0.2410686502011638,-0.003689588856633
BAC↔ITS,CLR,F,abiotic_plus_alpha_dark,0.2517459536845329,0.0069877146267359
BAC↔ITS,CLR,G,abiotic_plus_pool_compl,0.2488650148019958,0.0041067757441989
BAC↔ITS,presence/absence,A,abiotic_base,0.2575262917841342,0.0
BAC↔ITS,presence/absence,B,abiotic_plus_alpha,0.268928685763346,0.0114023939792118
BAC↔ITS,presence/absence,C,abiotic_plus_dark,0.2603638448037226,0.0028375530195884
BAC↔ITS,presence/absence,D,abiotic_plus_pool,0.2655218614742648,0.0079955696901306
BAC↔ITS,presence/absence,E,abiotic_plus_compl,0.2553159296835203,-0.0022103621006138
BAC↔ITS,presence/absence,F,abiotic_plus_alpha_dark,0.2667643959976259,0.0092381042134916
BAC↔ITS,presence/absence,G,abiotic_plus_pool_compl,0.265911467418329,0.0083851756341948
BAC↔ITS,presence/absence,A,abiotic_base,0.2393087252099756,0.0
BAC↔ITS,presence/absence,B,abiotic_plus_alpha,0.2482375849034789,0.0089288596935033
BAC↔ITS,presence/absence,C,abiotic_plus_dark,0.2422422195875999,0.0029334943776243
BAC↔ITS,presence/absence,D,abiotic_plus_pool,0.2467633333597341,0.0074546081497585
BAC↔ITS,presence/absence,E,abiotic_plus_compl,0.2355212792597624,-0.0037874459502131
BAC↔ITS,presence/absence,F,abiotic_plus_alpha_dark,0.2463009319342246,0.006992206724249
BAC↔ITS,presence/absence,G,abiotic_plus_pool_compl,0.2449643942514408,0.0056556690414651
EUK↔ITS,CLR,A,abiotic_base,0.1683325445023578,0.0
EUK↔ITS,CLR,B,abiotic_plus_alpha,0.1827993932280205,0.0144668487256627
EUK↔ITS,CLR,C,abiotic_plus_dark,0.1727612877567379,0.0044287432543801
EUK↔ITS,CLR,D,abiotic_plus_pool,0.1776153559132806,0.0092828114109227
EUK↔ITS,CLR,E,abiotic_plus_compl,0.1662589614780355,-0.0020735830243222
EUK↔ITS,CLR,F,abiotic_plus_alpha_dark,0.1835799503830883,0.0152474058807305
EUK↔ITS,CLR,G,abiotic_plus_pool_compl,0.1782083295116119,0.0098757850092541
EUK↔ITS,CLR,A,abiotic_base,0.1603061670133734,0.0
EUK↔ITS,CLR,B,abiotic_plus_alpha,0.1722229491281695,0.011916782114796
EUK↔ITS,CLR,C,abiotic_plus_dark,0.165592532501357,0.0052863654879836
EUK↔ITS,CLR,D,abiotic_plus_pool,0.1697613578371161,0.0094551908237426
EUK↔ITS,CLR,E,abiotic_plus_compl,0.1564467760417344,-0.003859390971639
EUK↔ITS,CLR,F,abiotic_plus_alpha_dark,0.1736139445124406,0.0133077774990671
EUK↔ITS,CLR,G,abiotic_plus_pool_compl,0.1677585752009083,0.0074524081875348
EUK↔ITS,presence/absence,A,abiotic_base,0.2125677221270216,0.0
EUK↔ITS,presence/absence,B,abiotic_plus_alpha,0.2270002200191166,0.0144324978920949
EUK↔ITS,presence/absence,C,abiotic_plus_dark,0.21492654447228,0.0023588223452583
EUK↔ITS,presence/absence,D,abiotic_plus_pool,0.2210606635214712,0.0084929413944495
EUK↔ITS,presence/absence,E,abiotic_plus_compl,0.2107437573199031,-0.0018239648071185
EUK↔ITS,presence/absence,F,abiotic_plus_alpha_dark,0.2243505126450033,0.0117827905179817
EUK↔ITS,presence/absence,G,abiotic_plus_pool_compl,0.2223799195880472,0.0098121974610255
EUK↔ITS,presence/absence,A,abiotic_base,0.1941542985480264,0.0
EUK↔ITS,presence/absence,B,abiotic_plus_alpha,0.2049817760372273,0.0108274774892008
EUK↔ITS,presence/absence,C,abiotic_plus_dark,0.1980161978742571,0.0038618993262307
EUK↔ITS,presence/absence,D,abiotic_plus_pool,0.2029749527841646,0.0088206542361382
EUK↔ITS,presence/absence,E,abiotic_plus_compl,0.1895615670948903,-0.0045927314531361
EUK↔ITS,presence/absence,F,abiotic_plus_alpha_dark,0.2037057734564615,0.0095514749084351
EUK↔ITS,presence/absence,G,abiotic_plus_pool_compl,0.2003450843002652,0.0061907857522387
